,engine.oxTank.liquid.mass,engine.oxTank.liquid.density,engine.oxTank.liquid.temperature,engine.oxTank.liquid.pressure,engine.oxTank.liquid.enthalpy,engine.oxTank.liquid.internalEnergy,engine.oxTank.liquid.volume,engine.pressTank.pressurantMassFlowRate,engine.pressTank.gas.mass,engine.pressTank.gas.density,engine.pressTank.gas.temperature,engine.pressTank.gas.pressure,engine.pressTank.gas.enthalpy,engine.pressTank.gas.internalEnergy,engine.pressTank.gas.volume,simControl.currentTime
2983,0.025564473424123685,997.2925416433183,261.10362274135395,9307922.34582,138902.50818621347,129569.31661287372,2.563387607612012e-05,0.23156411106330652,0.8787195506623791,209.38043691149673,199.95035410489544,10466195.870053219,156305.24728520482,106318.74413124881,0.004196760517000001,2.9829999999997825
2984,0.023695738752123684,998.8404410405095,260.7097872574373,9307922.34582,138151.99414336623,128833.26618304888,2.372324725602762e-05,0.23165683660649133,0.8784878938257725,209.32523794656456,199.92137088005282,10460859.543618605,156279.75429408858,106305.56271433746,0.004196760517000001,2.9839999999997824
2985,0.021827004080123683,1000.5149213539643,260.2823010577489,9307922.34582,137338.5685427997,128035.436578287,2.181577067395048e-05,0.23176089003558945,0.8782561329357369,209.27001418788288,199.89237405101855,10455522.84990198,156254.2528206259,106292.37514561893,0.004196760517000001,2.9849999999997823
2986,0.01995826940812368,1002.3391861545472,259.8148705104217,9307922.34582,136450.56499312154,127164.36479822574,1.991169225329118e-05,0.23187871029148124,0.8780242542254454,209.21476235510562,199.86336189292297,10450185.474011997,156228.74135180528,106279.18064024021,0.004196760517000001,2.985999999999782
2987,0.01808953473612368,1004.3435297847706,259.2992529537838,9307922.34582,135472.7242609904,126205.05630696415,1.801130210895095e-05,0.23201356104796733,0.8777922406643974,209.15947839022172,199.83433227233667,10444847.026453406,156203.21801623236,106265.97822752524,0.004196760517000001,2.986999999999782
2988,0.01622080006412368,1006.5685704105412,258.72435890691617,9307922.34582,134384.5462610693,125137.36467857297,1.6114947894218306e-05,0.2321699361923879,0.8775600707282051,209.10415716442105,199.80528249327594,10439507.014978088,156177.68044900132,106252.76668093413,0.004196760517000001,2.987999999999782
2989,0.01435206539212368,1009.070569662766,258.07476988201546,9307922.34582,133157.5730540646,123933.31993871457,1.4223054188291486e-05,0.2323542436467703,0.8773277164845583,209.04879202202,199.77620905761208,10434164.800780602,156152.12558143996,106239.5444090908,0.004196760517000001,2.988999999999782
2990,0.01248333072012368,1011.9306989729546,257.3281468632695,9307922.34582,131750.6455890946,122552.4639791612,1.2336151806436418e-05,0.23257602939056413,0.8770951404551678,208.9933740327284,199.74710727226773,10428819.526666697,156126.54929637778,106226.30927712462,0.004196760517000001,2.9899999999997817
2991,0.01061459604812368,1015.2723894922688,256.4503574118581,9307922.34582,130101.0002512673,120933.09374444807,1.0454924371017291e-05,0.23285034038729158,0.8768622901147805,208.9378906808802,199.71797056064202,10423469.99110778,156100.9458237961,106213.05829348697,0.004196760517000001,2.9909999999997816
2992,0.008745861376123681,1019.2970461488119,255.3853954996396,9307922.34582,128105.88774440235,118974.18037706734,8.580287178470675e-06,0.2332027623318779,0.8766290873524486,208.88232335427503,199.68878914346118,10418114.406906864,156075.30658294872,106199.787009963,0.004196760517000001,2.9919999999997815
2993,0.006877126704123681,1024.3678133067326,254.031598464468,9307922.34582,125579.30833890312,116492.80422884772,6.713532595214822e-06,0.23368173910787549,0.8763954056133407,208.82664189755113,199.65954717761335,10412749.877644697,156049.61767079783,106186.48822032707,0.004196760517000001,2.9929999999997814
